2026-06-22 15:15:11.202 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Declare-Pages]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.202 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Declare-Pages
2026-06-22 15:15:11.203 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-AI-Tool]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.203 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-AI-Tool
2026-06-22 15:15:11.203 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-Report-Definition]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.203 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-Report-Definition
2026-06-22 15:15:11.203 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-CaseType]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.203 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-CaseType
2026-06-22 15:15:11.203 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-Activity]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.203 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-Activity
2026-06-22 15:15:11.203 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-ClassMetadata]: autoDerived=[pyRuleName, pyLabel, pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={pyRuleName=pyClassName, pyLabel=pyClassName}, functionTemplates=0
2026-06-22 15:15:11.203 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-ClassMetadata
2026-06-22 15:15:11.203 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-ServiceLevel]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.203 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-ServiceLevel
2026-06-22 15:15:11.203 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Service-MCP]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.203 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Service-MCP
2026-06-22 15:15:11.203 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Declare-DecisionTable]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.204 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Declare-DecisionTable
2026-06-22 15:15:11.204 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-Corr]: autoDerived=[pxObjClass, pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.204 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-Corr
2026-06-22 15:15:11.204 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Edit-Validate]: autoDerived=[pxObjClass, pyRuleSet, pyRuleSetVersion], hardConsts=[pxObjClass], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.204 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Edit-Validate
2026-06-22 15:15:11.204 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Test-Application-BusinessAction]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.204 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Test-Application-BusinessAction
2026-06-22 15:15:11.204 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-CorrType]: autoDerived=[pxObjClass, pyRuleSet, pyRuleSetVersion], hardConsts=[pxObjClass], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.204 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-CorrType
2026-06-22 15:15:11.204 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-Flow]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.204 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-Flow
2026-06-22 15:15:11.205 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-AttachmentCategory]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.205 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-AttachmentCategory
2026-06-22 15:15:11.205 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-FieldValue]: autoDerived=[pyRuleName, pyRuleStarts, pyRuleEnds, pySortDateCircumWithinRSMajor, pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={pyRuleName=pyFieldName + ' ' + pyFieldValue}, functionTemplates=0
2026-06-22 15:15:11.205 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-FieldValue
2026-06-22 15:15:11.205 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Async-JobScheduler]: autoDerived=[pyRuleName, pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={pyRuleName=pyPurpose}, functionTemplates=0
2026-06-22 15:15:11.205 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Async-JobScheduler
2026-06-22 15:15:11.206 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-Property]: autoDerived=[pySPRuleSetName, pyIsFieldForWorkClass, pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.206 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-Property
2026-06-22 15:15:11.206 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-UI-View]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.206 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-UI-View
2026-06-22 15:15:11.206 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-Class]: autoDerived=[pyInitialVersion, pyRuleSet, pyRuleSetVersion], hardConsts=[pyInitialVersion], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.206 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-Class
2026-06-22 15:15:11.206 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Notification]: autoDerived=[pyRuleName, pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={pyRuleName=pyPurpose}, functionTemplates=0
2026-06-22 15:15:11.206 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Notification
2026-06-22 15:15:11.206 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Test-Unit-Case]: autoDerived=[pyClassContext, pyRefToFocusKey, pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={pyClassContext=pyClassName, pyRefToFocusKey=pyPurpose}, functionTemplates=0
2026-06-22 15:15:11.206 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Test-Unit-Case
2026-06-22 15:15:11.206 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Connect-GenerativeAI]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.206 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Connect-GenerativeAI
2026-06-22 15:15:11.206 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-FlowAction]: autoDerived=[pyRuleName, pyStreamName, pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={pyRuleName=pyActionName, pyStreamName=pyActionName}, functionTemplates=0
2026-06-22 15:15:11.206 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-FlowAction
